"No.","コメント","評価"
"No.11 :","バッテリーの持ち時間をあらためて調べたのでレビューを訂正する。スリープで４８時間放置では1時間あたり1.5%消費だった。同時に調べた5000mhaのスマホは1%消費。youtube視聴では１時間に16から17%消費だったので「2,3時間でほぼ空っぽ」というのは訂正する。なおスマホでは5,6%と三分の一の消費なのでcpuの電力消費量差もあるが4000mha搭載にしては持ち時間が悪いのは確か。その他：wifiがやはり不安定でスマホは繋がるのにP80はＸという状況が時々発生する。ここのレビューは１０インチと８インチが混在するのでレビュー機種名に注意。",3
"No.12 :","antutuスコア約１６万。それでいて２万を切る価格。android10。不満はほぼない。あるとすれば少し重いことと、分厚い事くらいか。",4
"No.13 :","Amazonのプライムセールで購入しました。中国のタオバオで現在売られているのと同値、ポイントバックを考えればむしろ安く買えました。さらにアンドロイドのプレイストアが標準で入っているので、中国に戻ってから買わなくてよかったです。個人的な用途はYou

Tubeと電子書籍なので、このスペックでなんの問題もありません。画質も音質も想像以上によかった印象です。Bluetoothの問題がなんとかというコメントがいくつかありますが、過去の報告のためか商品紹介ページに対策が書いてあります。私の方でも2度ほど表示されたので、説明どおりにしたところその後は一切同様の問題は起きていません。心配な点としては、スクリーンオフ後に再度スタートボタン（電源ボタン）でもう一度表示を試みた際に何度か反応なし、または直接再起動になったことがありました。現在パスワード機能をオフにし、それ以来は同様の問題はないのですが、今後わかりません。とりあえず様子を見ます。バッテリーは確かに減りが早いです。画面輝度などの調節で減りが多少遅くなりましたが、モバイルバッテリーなどで対応したほうがよさそうです。総合的には大満足です。長持ちしてくれるといいです。",5
"No.14 :","例えば場面を読んでる時、メールが来たは分かりますがメールが中途半端開示で、ツィータ再登録中でツィータ社から送信された記号が読めず、結局、ニ場&三場面面同時が出来ないポンコツタブレットです。ＹｏｕＴｕｂｅとか簡単な調べ物では、まあまあです。最初からロック式で不便、後付けロック式ならばです。",1
"No.15 :","1．コストパフォーマンスは、高い 2．操作性機能性は､Android10搭載で､問題ありませんが、Wifi環境の影響が見られます。 ３．Wifiの影響か､モタツキがあります。 4．デザインは、8incパッドなのであまり特徴はありません。 4．画面の明るさ：見やすさは非常に良いですが､ゲーム等画面展開には、不満があります。 5．バッテリー寿命は、新しい内は良い方だと思いますが､容量にゆとりが無く､時間経過と合わせて短縮されると思います。 オンライン会議に参加すると、消費が激しいです。 6．サウウンドはスピーカー自体の能力が今一つですが、ブルーツーススピーカーの設置で解決です。 ７．イヤホンジャックは無くUSBポートが一つで、拡張性はありません。 ８．USBポートのカバーが無いので、防水ではありません。9．ドラブルへの対処は非常に良かったです。　今後ともよろしく。追伸：今の所問題なく作動しております｡　一部修正です７．でイヤホンジャックが無いと記載しましたが、間違いです｡愛用のJBLヘッドフォンから音が出ない、が事実です｡一般的なイヤフォンは使用可能でした｡",4
"No.16 :","届いて1日目です。初期設定に日本語があります。日頃10インチの重たいHuaweiタブレットを使用しているので、一体中に何が入ってるんだろう？と思う位軽いです。厚みも普通です。持ち歩きに良いと思います。画像はYoutube で画素数が追い付かない部分のちらつきやモアレ等はあるもの、概ね良好でしたが、突然何度かアプリが落ちたりしました。無線wi-fiルーターなので、回線状況によるのかも。今まで使用してきたHuaweiやSonyのタブレットでそういうことはありませんでしたが。。。読み込み待ちのクルクル画面がないのかな。あと、Youtubeの細かい表示部分(広告中に出るスキップ等)が英語表記だったり、英語字幕が突然オンしたりします。倍速で聞いていて気づいたら標準スピードになっていることもありました。アプリの立ち上がりのリーディングタイムはそんなに遅くないと思います。英語はわかりますし仕様さえ分かっていれば別に気になりません。すぐ落ちるけど立ち上げればすぐ復旧。初期設定を、1台に2回ずつしなくてはいけなかったりしました。同じメーカの10インチタブレットを購入し、同じ現象がありました。同時

に同一googleアカウントで設定したので混線したのかも？そんなことってありますかね？音質は特段悪くないと思いますが、スピーカーが背面1箇所にあるため、音を吸収するようなところで置くと小さく感じました。構造の問題だと思います。安いので臨場感は諦めましょう。立て掛けて使うのが正解のようです。あと、充電中、謎のタイミングでチャララーン♪という音がします。充電完了とかではなく、専用のコネクターではないと接続が悪いみたいです。他の機体ではそういうことはなかったコネクターですが相性が良くない様です。安すぎて文句も言えないゲーム用なので、クレジット情報等の個人情報登録をなるべくしないように気を付けて使用したいと思います。",4
"No.17 :","家がWi-Fi環境でスマホより大きい画面でYou Tubeを観たり電子書籍を読んだりと休日などの暇潰しに使いたいという方なら良いと思います。ただ外出先に持ち歩くには重いしそれなりの大きさなので不向きかと（ホテルとかに泊まるなら別ですが）バッテリーは減りも速いですが充電速度も速いのでバッテリー容量自体が小さいのかなと　アプリのゲームなども普通に出来ます。　カメラの画質というか解像度は期待しない方が良いと思います。文字などは潰れて見づらくなります。他に不満点といえば音量を調節するボタンが横に付いていますが反応が悪く連打してようやく画面に音量バーが現れますが、厄介な事にすぐ下に電源ボタンがある為、音量ボタンを押すつもりが間違えて電源ボタンを押してスリープ状態になりイラッとします。SDカードの差込口は有りますが反抗的でなかなか素直に入ってくれずバネのようにはじき返され苦戦します。それと持ち方の問題かもしれませんが右下端にスクショのセンサー（ボタン？）がある為、意図せずしてスクショしてしまいがちです。他にはアプリの途中で広告を見たりするとたまに内部でバツッと電気が走るような音がします。そ

してこの商品を買うとしばらくレビューを書けと何度もメールが来ます。気持ちはわかるけど、こっちだって受け取ったばかりで開封すらしてないのに　それに商品としてはせめて1ヶ月くらい使ってからレビューしたいなと　長々と荒唐無稽な文になりましたが個人的にはこんな感じでした。",3
"No.18 :","私の手元に来たのは不良品でした、メーカーの対応も悪く交換するのに元払いで商品を送って来いと命令してくる始末でした。不良品内容としては画面の波打ちバッテリーの消耗スピードが異常Bluetoothの不良",1
"No.19 :","I had to return the tablet because the my sd card did not work with the tablet. Also the tablet information on Amazon is incorrect it says the tablet uses android 10 OS but in actually it's running android 10 GO which is a lower version of android 10. Be careful when ordering. This tablet would be only good for children.",3
"No.20 :","メディアを読み込めませんでした。

<U+00A0>画面の大きさや、画面裏側の質感等は気に入ったんですが、肝心の商品がまともに見れなかったので返品致しました。外れさえ引かなければ、値段なりにまあまあだとは思います。画面は、縁が確かにボコボコです。でも、一緒に買った保護ガラスは初めは1発では貼れなかったけど数日で馴染みました。が、画面が歪なせいで貼り直ししたから端にホコリが入ってしまって失敗です。返品したのは、動画の通りな症状です。これは、ググりましたが、珍しい症状なのか症例に当たりませんでした。動画の症状と、何かのエフェクトのように効果線の様な光が走り、そのままだったり点滅したりしました。今回は商品に不良が有り返品しましたが、結果必要なくなった保護ガラス。コレも無用の長物になりましたし、返金して欲しいけどムリだろうな。ケースは保留にしておいて良かったです。結局、コレは諦め、BLACKFRIDAYでfire8Tabletを購入しました。スマホより大きな画面での動画視聴目的でしたので、最初からこっちを買っておけば良かったと言う感想です。",1
"No.21 :","時々、サイトが大きくなったり小さくなんたりと忙しい！Bluetoothの調子が悪いのて、オフにしたりとこのタブレットは大外れ！画質はいいです。プレイヤーを観ると時々飛んで終わるって感じ。どうか交換させて欲しい。もう使い物にならない！この型は買わない方がいいかも。この会社のはです。",1
"No.22 :","あまりにもバッテリーの持続時間が短すぎます。フル充電しても2～3時間で30～40％まで落ちます。",1
"No.23 :","レビューを見て買ったのに楽天モバイルが接続できない。※ロケットモバイル（docomo回線）はあっさり接続できた。挿しなおした時など、見かけ上では接続しているように見えることもあるが実際には繋がっていない。しばらくすると見かけ上も接続が切れてもう繋がらない。せめてrakuten linkだけでもとwifiで認証を試みるもsmsが届かない。それ以外は今のところ満足のいく出来なので非常に残念。追記：なんとかrakuten link認証できた。受信感度が低いのだろうか。スマホなら家じゅうどこでも余裕で楽天回線エリア内となるところこちらはほぼ圏外でパートナー回線エリアになってしまうようだ。（パートナー回線はバンド非対応であるし、それ以前にそもそも楽天回線エリア内でないとrakuten

linkの認証はできないらしい）窓際を歩き回りながら認証を続けた結果、一瞬の隙をついて認証成功することができた。☆ひとつ増やそうかとも思ったけれど再認証でまたモメるだろうからやっぱりあげない。再追記：室内だとdocomo回線すらとぎれとぎれ。やはりかなり受信感度が低いような。wifiは感度高くて速いのに惜しい。",3
"No.24 :","画質はそんなに悪くない。バッテリーは減りがかなり早いです。軽さは思った以上に軽かったです。初期設定の取説が３行ほどの簡単なもので、言語設定を英語のまま先へ進んだら、元へ戻ることができず、サポート先も何処にも記載がなく、いちど返品処理しようとしたくらいでした。結局、ネットで同じ間違いをした人の対処法を参照して問題解決しましたが、このあたりチャイナはかなり雑ですね。",3
"No.25 :","先日、同品を他の出品者で購入しましたが、・梱包方法  以前はプチプチのビニール袋でしたが、今回はAmazonの箱・外箱の梱包方法  以前は外箱の両サイドにシールでしたが、今回は全体ラミネート梱包・正規品シール  以前はありませんでしたが、今回はありました。以前、購入した品は、Wi-Fiが5Gが表示されているのに接続できなく、2.4Gはブチブチ切れまくり、購入して1日後にはWi-Fiが繋がらなくなりましたが、今回は5Gも2.4Gも問題なく繋がってます。Wi-Fiの不具合はなんとも言えないてすが、ここの出品者はAmazonのスポンサーなので、色々と違うのかなぁ？と、思いました。",5
"No.26 :","T30よりも、速いですね。docomo SIMには未対応とかかれていましたがいけました。今ではメイン機種として、使っています。",5
"No.27 :","google play対応。ジジババが手軽に手元でLINE操作しやすかろうと購入。画面タッチも、反応良好。googleplayアプリは、モノによっては対応してないと表示でたが、おおよそ自分がスマホでいれてるゲーム類はやることできる。ただ1点、画面あけてるだけでも充電がドンドン減っていく…電池持ちが悪いのが残念でならない。が、ジジババはそういうものだと思って、一日の最後に充電している…",4
"No.28 :","ずっとipadminiを愛用してきて新型の噂の発売まで数ヶ月で故障。考えたら軽く動画を見たり、漫画を見たりしかしてないので、思い切ってこちらを購入！結果問題なしところか十分だった！５万円ほどの節約かなただ、液晶の下にホコリが入っていて気泡が一つある買ったときから元々のフィルムの下にあったからフィルムを張り替えるときに取れるだろうと思ったらさらにその下に入ってるみたいで取れなかった…不良品なんだろうけどすぐ必要なので返品できないからこのまま使うしかないここまでは仕方ないし全く問題ない以下は買い換える事も検討する位問題ある点。オーバーレイ権限をonにしないと使用できないアプリがあるけど、スマホの性能を低下させるからoffになってる、的なテキストが表示されててonに出来ないブルーライトカットアプリ等使えず、夜はダークテーマ、アイプロテクションモードで暖色にできるけど限界まで暗くしても昼も使えるくらいで夜は明るすぎて困る寝る前に使うには明るすぎて眩しいくらいこれじゃ買い替えだな",1
"No.29 :","スペックの割に動きに難があります。ゲーム等ではなく、ブラウジングでのスクロールがスムーズでは無いし、画像の読み込みも遅くストレスを感じる。。所有しているひと世代前のfire tabletの方が、そこらへんのストレスは無い。個体差なのか。",2
"No.30 :","この価格帯の商品としては画像はキレイだし、動作も軽くてよいと思います。また無駄なプリインストールも少ないので、削除する手間もありません。保護シートが画面と背面の両方に貼ってあるのが地味に嬉しいポイントでした。不満はバッテリーの減りが速いことくらいです。8/4追記5ヶ月ほど使いましたが、充電時に差込口が溶けるほどに熱くなってしまい、その後全く充電が出来なくなりました。販売店に問い合わせたところ、快く返品に応じていただきました。とても迅速丁寧な対応をしてくれて好感が持てました。",5
"No.31 :","メモリ6GB→iPad11同じGPU8コア→iPad11は7コア（笑）画質、軽さ、音質以外はiPad11と同等以上です。相当な高画質や高音質を求めるのであれば高価なiPadを購入すべきです。驚いたのは処理速度です。価格以上です、本当に。当方はXPERIAタブレット＆LaVieタブレット持ち、スマホもXPERIAなのですがXPERIAやLaVieより遥かに速いです。ダウンロードやファイルの移動、削除、etc…。アプリゲームのロード時間も比になりません。6万円で購入したXPERIAタブレット。2万円未満で購入したTECLASTm30pro。日本のタブレットはブランド名だけでしかないと痛感しました。ちなみに画質、軽さ等XPERIAと変わりません。他の安価系タブレットに比べてメモリが6Gと圧倒的なスペックですし。AmazonのFireや当方所持のXPERIAがメモリ3Gですから。iPad11と同等のメモリです。ストレージも128Gと同等の価格帯のタブレットと比べても圧倒的。iPad5～7万円クラスと同等です。SDメモリーカードは256Gまで対応しています。購入して1ヶ月程度なので耐久性

だけは分かりませんが、もし迷っておられるのであれば購入することをオススメします。私は購入して本当に良かったです。",5
"No.32 :","古いKindle専用タブがどんどんモッサリになって最終的に固まるようになったので格安の8インチタブを探しました。格安な上に使用には全く問題ないので良いんですが、画像の通りベゼルの部分が激しく歪んでおります。一緒に買ったガラスフィルムはこの歪みのおかげで密着してくれません、ガラスフィルムは買わんで良かったなと思いました。ちなみにこの写真を撮ったumidigiA9proもその気があります笑、中華製品の精度の印象です。使いませんがカメラホールもずれてますね笑でもコスパは十分にクリアしてくれれますので満足しています。気になってしょうがない方にはおすすめしませんが10倍の価格のタブレットを10倍の期間使い続けるのと同じと考えたら案外アリだと思います。",4
"No.33 :","アンドロイド端末なのにPlayストアがインストールされていないと大変不便なので、調べに調べてこちらの端末にたどり着きました。値段も手ごろだしPlayストアも入っている、ヨシ！と思って購入したら。。。ポケモンGOがインストール出来ませんでした。実はそれが目的で探していたのですが、まさか！出来ない？これは調べている時にも分かりませんでした。即日、姪っ子にあげました。なので今はもう手元にありません。読書等の目的ならば、もっと良い評価が出来たかも知れませんね。",2
"No.34 :","スクリーン面がフラットでないから保護フイルムを貼っても気泡が出ると思います。届いてから三日目で出荷時から貼ってたオリジナルの保護フイルムに気泡が出てきました。やはり気泡が気になります工場出荷時に貼ってるフイルムは保障の対象外でしょうか。保護フイルムを買って貼りなおしても良いのですがこの商品のスクリーンは凸凹なのでうまく貼れないので諦めるしか無いのでしょうか。",3
"No.35 :","From my testing, here is what I found:1. A lot of areas in the screen cannot recognize touch. I tested using a screen sensitivity test app, a lot of areas cannot recognize my touch.2. Cannot recognize continuous touch. So if you set up your screen lock using a touch pattern. Your de device will be locked forever. Good luck opening your device!3. Cannot even run basic apps, such as email and chat apps. The response is also so lame and the most app cannot even run.I tried a lot of cheap

products usually, at least, they can perform the basic task. But from my experience, this tab cannot.",1
"No.36 :","画質、音質はそれなりに良い。タッチパネルの反応も悪くない。ただ内部ストレージが32GBのものが届いた。何度かメーカーとやり取りして新しいものを送ってもらったが、メーカーの商品管理は怪しいかも。",3
"No.37 :","元々は2万円台のタブレットで満足感を重点に検討していましたが他のレビューを見たところ当たり外れが凄そうでしたが、検品にもコストがかかるので、メーカーもそこを踏まえてスペック含めコストを抑えてあえてこの価格帯で勝負している覚悟が伺え、買ってみる決断をしました。結果は一発で大当たりを引きました。勿論解像度もバッテリー容量もスペック通りでYouTubeも720pで限界です。画質も良くないですがタップは画面端でも反応するし、4時間程youtubeが見れるし、爆熱にもなりません。WiFiもしっかり掴んでいるのでプチフリは一切無し。動画を見ると割り切っていれば、これ以上に良いタブレットは探すのが困難かと。念の為画質や本体重量に拘るならば、もっと上の価格帯でご検討ください。自分としては外での待ち時間等出先で動画を気軽に見たいのが目的なのでそれにカチッとハマった素敵な体験でした。このメーカーを買うのは初めてなのでこれからは外用タブレットとして大活躍して頂きます。",5
"No.38 :","開封して適度に充電しアクロバットリーダー、Kindle、プライムビデオ、簡単な文字書きアプリの4つをインストール。結果、何一つまともに動かない…アプリは開いた瞬間固まり、画面を閉じることも再起動も効かない。放っておくと1分くらいで勝手に再起動する。意味が分からない。32GBのMicroSDをストレージ化したらアプリは起動から次のタッチまでは進むようになったがその先は延々同じ現象。とても使えたものじゃない。何これ？入院中のちょっとした書き物にと思ったんですが…他の方まともに使えてるんですか？",2
"No.39 :","コスパは最高です。パソコンとスマホがあれば、タブレットはこれで十分使えます。この値段で買えるなんて、安くなりました。",4
"No.40 :","約5ヶ月使用しての感想です。質感、機能性は問題ないと思う。使っていて、勝手にBluetoothが認識できないとの警告のアラームが頻繁に表示されて、Bluetooth機器は何もないので何で？と思ってましたが、勝手におさまりました。起動してアプリが固まることしばしばでイラッとする時あります。それと電池の持ちですが、連続使用で3～4時間は余裕で使えると思います。自分は長時間使用はしませんが。尚、不使用時は画面がスリープしますがこの状態で放っておくと3日位で電池はなくなります。シャットダウンしない限り電池消費は激しいかも。ノートPCのような感じにはなりませんね。もう少し快適なら良かったですが、価格相応ですね。",2
"No.41 :","Teclast T8のバッテリが膨張してきたため買換。が、GooglePlasStoreから入れた目覚ましアプリがどれもこれも起動しません。画面が明るくなるもののロック画面のままでアプリは起動せず。目覚ましのために購入したものの使えないんじゃどうしようも…不具合があるわけでもないし返品もできず。プリインストール/Google純正の「時計アプリ」からの目覚まし機能は使えるんですが。以前のT8では使えていたのに残念。",1
"No.42 :","10インチが予想外によかったので、追加で購入。期待はずれも甚だしい内容。遅いわ、フィルム剥がすの大変だったわ、二枚も貼ってあるわ。同時にガラスフィルム購入しておいたのを貼り始めて気づいた。画面に凹凸あって、フィルムがキレイにどころか、貼れない。上部に段差があって、隙間が！値段相応どころじゃないです。買っちゃダメなやつ。前にノーブランドで懲りてたのにやっちゃった。ここのは３度目はない！買わない！",1
"No.43 :","とても重いです　そして本体がアルミの為冬はとても冷たいです何よりlteが繋がのははじめの数分で切断　その後再起動をかけないと再認識されません　私には使えません",1
"No.44 :","画面の輝度を最低にして、バッテリーセーバーをONにしても、動画を見てるとみるみる電池が減っていきます(笑)100％の状態から持って6時間ってとこかな。まあでも、配信の際のコメント閲覧用に買ったし充電も繋ぎっぱなしでPD対応なので、充電も早いしこの値段にしては使えるかと思います。コスパは良い。YouTube等もサクサク見れるし、高画質モードを求めなければ優秀だと思います<U+263A><U+FE0F>ただ注意すべきは、例えばこのタブレットを17LiveやYouTubeのライブ配信で使おうとしても、全く使い物にならないので注意！！  今売ってるミドルクラスのスマホの方がよほど滑らかな配信ができるし、そっちを使った方がいいです。(実証済み)CPUがSNSのスペックに付いていけなくて、カックカクのひどい配信になります<U+0001F605>ただ逆に、SNS配信を閲覧する分に関しては、普通に滑らかに見れるので、あくまで閲覧用という感じですかね。なんやかや言いましたが、愛用させてもらっています。上記の点を踏まえた上なら、値段もお安いですし十分アリかと思います！OSもAndroid

Goですけど、今のところ使えないアプリ等には当たっていないし、特に問題ないかと思います。Fire買わずにこっちを選んで正解でした<U+0001F601><U+0001F601>ご参考になれば幸いです。",3
"No.45 :","PDFファイルや電子書籍、ネットの閲覧用に購入しました。ゲームはしません。他機種との比較もできませんが、気になった点を書いておきます。◯画面の保護シートは貼られてます。◯DC充電が可能とあり、プラグ挿入口もありますが、対応するコンセントは付属してません。◯画面の反射、指の引っ掛かりあり。指紋もかなりつきやすく目立ちます。反応は良好です。◯外に持ち出してはいませんが、やはり580gは重いかも。◯初期設定は数分で終わります。簡単です。◯ケースも欲しかったのですが、対応する専用品がないです。◯カメラは…まぁ使えないです。画面サイズがある分粗が目立ちます。付いてなくても一緒なレベル。◯地磁気センサーがありません。傾きや方角は検出できません。また気になる点が出てきたら追記します。",3
"No.46 :","子供用に買いましたが、しまじろうアプリなどでフリーズ連発でした。一旦フリーズしてしまうと、3時間くらいは復活しません。復活してもすぐまたフリーズ。使い物にならずd-tuB買いました。快適でした。",1
"No.47 :","母親がＬＩＮＥを大きい画面でして、あとためにyoutubeをみたいということでプライムデーのときに安かったこの製品を（8千円）購入動きはするが動作をするときに少し止まったり、たまに動かなくなることがある。前使ってたタブレット（quatab）がサクサクに動いてた記憶があったらしく不満みたいでした。次買うときはメモリ３ギガ以上を買います。",2
"No.48 :","びっくりするほど安いのですが、思わず笑ってしまった程、これ使えます。意外と意外動く。もちろん凄いというほどでもない。使いづらいという程でもない。YouTube もちゃんと見れてる。値段の割に、思わず笑ってしまった。逆に凄いというべきか?  どう言っていいのかわからない (笑)",5
